Title,Author,First Publish Year,Subjects
The Valley of Fear,Arthur Conan Doyle,1914,"English Detective and mystery stories, Fiction, Private investigators, Private investigators in fiction, Romans, Roman policier anglais, Detective and mystery stories, Chinese Detective and mystery stories, England, fiction, Holmes, sherlock (fictitious character), fiction, Moriarty, professor (fictitious character), fiction, Watson, john h. (fictitious character), fiction, British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional, Private investigators, fiction, Large type books, English literature, John H. Watson (Fictitious character), Fiction, general, Children's fiction, Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Japanese language, Japonais (Langue), Krimi, Detektive, Fiction, mystery & detective, general, Fiction, action & adventure"
Appointment with Death,Agatha Christie,1938,"Belgians, Belgians in fiction, Fiction, Fiction inEnglish, Hercule Poirot (Fictitious character), Private investigators, Private investigators in fiction, Detective and mystery stories, English Detective and mystery stories, Americans, Mystery, Novela policíaca, Poirot, Hercule (Personaje literario), Ficción, Israel, fiction, Jerusalem, fiction, Poirot, hercule (fictitious character), fiction, Fiction, mystery & detective, traditional, English fiction, Large type books, English literature, Private investigators, fiction, Fiction, mystery & detective, general"
The Silver Chair,C.S. Lewis,1953,"Fiction, Juvenile Fiction, Science Fiction & Fantasy, Children: Grades 2-3, Imaginary Voyages, Magic, Princes, Fantasy fiction, Children's stories, English, Captives, Good and evil, Brujas, Viajes, Voyages and travels, Novela fantástica, Adventure fiction, Witches, Novela juvenil, Bien y mal, Spanish language, Príncipes, Fantasy, Narnia (imaginary place), fiction, Children's fiction, Child and youth fiction, Princesses, fiction, Adventure and adventurers, fiction, Fiction, fantasy, general"
The Last Battle,C.S. Lewis,1956,"Juvenile Fiction, Science Fiction & Fantasy, Fiction, Fantasy, Children's fiction, Narnia (imaginary place), fiction, Fantasy fiction, Juvenile, Narnia (Imaginary place), Magic, Child and youth fiction, Good and evil, English Fantasy fiction, English literature, 20th century, Adventure and adventurers, fiction, Fiction, fantasy, general, Voyages and travels, Narnia (Lugar imaginario), Ficción juvenil, Bien y mal, Viajes, Novela fantástica, Good and evil, fiction"
Demian,Hermann Hesse,1919,"Teenage boys, Translations into English, Bildungsromans, Fiction, German fiction, Germany, Bildungsroman, Social conditions, Translations into Portuguese, Portuguese fiction, Translations from German, Continental european fiction (fictional works by one author), Young men, German language materials, Fiction, coming of age, Germany, fiction, Youth, Fiction, general, Friendship -- Fiction, Interpersonal relations -- Fiction, Friendship, Interpersonal relations, Germany -- Social conditions -- 1918-1933 -- Fiction, Germany -- Social conditions -- 1918-1933"
La Peste,Albert Camus,1942,"Fiction, Plague, Plague in literature, Epidemics, Peste bubónica, FICTION / Classics, FICTION / Psychological, FICTION / Literary, Continental european fiction (fictional works by one author), Medicine in Literature, French fiction, Psychological, Reading Level-Grade 11, Reading Level-Grade 12, Fiction, medical, France, fiction, Drama (dramatic works by one author), Romance literature, Fiction, psychological, Fiction, classics, Determination (Personality trait), Peste, Romans, nouvelles, Romance Frances, Novela"
Anne's House of Dreams,Lucy Maud Montgomery,1917,"Accessible book, Protected DAISY, Country life, Marriage, Juvenile fiction, Friendship, History, Fiction, Fiction, general, Er tong wen xue, Zhang pian xiao shuo, Dreams, fiction, Children's fiction"
The Martian Chronicles,Ray Bradbury,1950,"American Science fiction, Ciencia-ficción, Drama, English Language Short stories, Ficción, Fiction, Interplanetary voyages, Translations into Russian, Bibliography, Science fiction, Fiction, science fiction, general, Space colonies"
The Woman in White,Wilkie Collins,1860,"Fiction, mystery & detective, general, Apparitions, Social life and customs, Manners and customs, Psychiatric hospital patients, Inheritance and succession, Country homes, Art teachers, Deception, Nobility, Study and teaching (Secondary), English Detective and mystery stories, Fraud, English language, Young women, Readers (Secondary), Foreign speakers, England, Swindlers and swindling, Classic Literature, Psychiatric hospital patients -- Fiction, Inheritance and succession -- Fiction, Country homes -- Fiction, Art teachers -- Fiction, Deception -- Fiction, Nobility -- Fiction, England -- Fiction, British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional, Hartright, walter (fictitious character), fiction, England, fiction, Teachers, fiction, Fiction, psychological, Fiction, mystery & detective, general, Mentally ill, Commitment and detention, History, Literature, Fiction, suspense, Fiction, historical, English literature, Fiction, general, Fiction, romance, general, Patients des hôpitaux psychiatriques, Romans, nouvelles, Successions et héritages, Maisons de campagne, Professeurs d'art, Tromperie, FICTION / Classics, FICTION / Gothic, FICTION / Thrillers / Psychological, Fiction, gothic, Mistaken identity, Mœurs et coutumes, English language, study and teaching, foreign speakers, Literary studies: fiction, novelists and prose writers, Fiction and related items, Man-woman relationships, Suspense fiction"
Cranford,Elizabeth Cleghorn Gaskell,1853,"Fiction, Older women, Villages, Sisters, Female friendship, Country life, Women, Social life and customs, Classic Literature, Drama, Romance, Literature, Children's fiction, British and irish fiction (fictional works by one author), England, fiction, Sisters, fiction, Friendship, fiction, Fiction, religious, England -- Fiction, Sisters -- Fiction, Pastoral fiction, Villages -- Fiction, Older women -- Fiction, Female friendship -- Fiction, Romans, nouvelles, Mœurs et coutumes, Manners and customs, English literature, Sœurs, Femmes âgées, Amitié féminine, Textbooks for foreign speakers, High interest-low vocabulary books, Readers for new literates, English language, Readers (Secondary), Readers, English language, juvenile literature, Fiction, general, Problems, exercises, Reading comprehension, Readers (Adult), Single women, fiction, English Pastoral fiction"
Tik-Tok of Oz,L. Frank Baum,1914,"Fairy tales, Fantasy fiction, Juvenile fiction, Fiction, Oz (Imaginary place), Fantasy, American Fantasy fiction, Classic Literature, Children: Grades 4-6, Children's fiction, Oz (imaginary place), fiction, Fiction, historical, general, Oz (Lieu imaginaire), Romans, nouvelles, Fantasmes, Romans, nouvelles, etc. pour la jeunesse, Adventure and adventurers, fiction"
The Silmarillion,J.R.R. Tolkien,1977,"Fantasy fiction, Short stories, Middle Earth (Imaginary place), Elves, Fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, epic, Middle earth (imaginary place), fiction, English Fantasy fiction, English literature, Engelse fiksie, fantasy, Bilbo Baggins (Fictitious character), silmaril, Fiction, fairy tales, folk tales, legends & mythology, Fiction, fantasy, dragons & mythical creatures, Fiction, fantasy, action & adventure"
The Twits,Roald Dahl,1967,"humorous stories, animals, Open Library Staff Picks, animal welfare, practical jokes, fiction, children's stories, juvenile fiction, revenge, tricksters, juvenile wit and humor, children, humorous fiction, children's fiction, birds in fiction, monkeys in fiction"
The War of the Worlds,H. G. Wells,1898,"Imaginary wars and battles, Juvenile fiction, Space warfare, Science Fiction & Fantasy, Fiction, Diseases, Martians, Invasions, Classic Literature, Open Library Staff Picks, open_syllabus_project, English Science fiction, Imaginary wars and battles in literature, Mars (Planet), Science fiction, Space vehicles, Earth, Romance Ingles, Fiction, science fiction, general, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Children's fiction, Examinations, Vocabulary, SAT (Educational test), English language, Study guides, Fiction, action & adventure, Large type books, Life on other planets, War stories, Extraterrestrial beings, fiction, Outer space, fiction, Literature, English literature, Seres extraterrestres, Extraterrestrial beings, Ficcion, Guerra espacial, Fiction, science fiction, action & adventure, Human-alien encounters, Comic books, strips, Wells, h. g. (herbert george), 1866-1946, Adaptations, Graphic novels, Aladdin (legendary character), fiction, War, fiction, Adventure and adventurers, fiction, Guerras imaginarias, Novela, Guerra, Life on other planets, fiction, Fiction, war & military, Imaginary wars and battles -- Fiction, Space warfare -- Fiction, Mars (Planet) -- Fiction, Imaginary wars and battles--fiction, Space warfare--fiction, Pr5774 .w3 2005dx, 823.912"
The Magician's Nephew,C.S. Lewis,1955,"Fantasy, Juvenile fiction, Cartoons and comics, Fiction, Fairy tales, Narnia (Imaginary place), Reading list, Magic, Romance norte americano, Fantasy fiction, Armstrong Elementary, 4th grade, 3rd and 4th grades, St. Marks, Witches, Good and evil, Imaginary Voyages, Translations from English, Children's stories, German, Children: Grades 2-3, Children: Grades 4-6, Children's fiction, Magic, fiction, Narnia (imaginary place), fiction, Child and youth fiction, Science fiction, fantasy, horror, Adventure and adventurers, fiction, Friendship, fiction, Witches, fiction, Literature and fiction, juvenile, Fiction, fantasy, general, Fiction, general, Magicians, Christian fiction"
Der Steppenwolf,Hermann Hesse,1927,"Fiction, Life, Western Civilization, Psychological fiction, Continental european fiction (fictional works by one author), German fiction, Western civilization in fiction, Translations into Russian, Life in fiction, Ficción, German language books, German literature, Civilización occidental, Vida, German language materials, Fiction, westerns, Fiction, historical, general, Fiction, psychological, Occultism, fiction, Children's fiction, Colish press. 1977, Художественная литература -- Швейцария -- Немецкая литература Швейцарии -- 2-ая пол. 20 в. -- Проза -- Сборник одного автора, Civilization, western, Civilization, western--fiction, Life--fiction, Pt2617.e85 s7 2002, 833/.912, Civilisation occidentale, Romans, nouvelles, Fiction, short stories (single author), Intellectual life"
The Legend of Sleepy Hollow,Washington Irving,1820,"Fiction, Ghosts, History, Children's stories, American, Short stories, Christmas, American Ghost stories, Ghost stories, Ichabod Crane (Fictitious character), Folklore, Shorthand, Graham, Texts, Children: Grades 4-6, Children's fiction, New york (state), fiction, Literature and fiction, juvenile, Ghosts, fiction, American fiction (fictional works by one author), Fiction, fantasy, general, Fiction, ghost, Histoires pour enfants américaines, Romans, nouvelles, Comics & graphic novels, general, Fiction, horror, Fiction, historical, general, Horsemanship, fiction, American literature, Practical jokes, Juvenile fiction, Death, Courtship, Bridegrooms, Cowardice, Jealousy, Avarice, Fantasy fiction, New england, fiction, Literature, Comic books, strips"
